Time Stamp (s)	Temperature (K)	Field (Oe)	Resistance Ch1 (Ohms)	Resistance Std. Dev. Ch1 (Ohms)	Phase Angle Ch1 (deg)	Frequency Ch1 (Hz)	Averaging Time Ch1 (s)	AC Current Ch1 (mA)	DC Current Ch1 (mA)	Voltage Ampl Ch1 (V)	In Phase Voltage Ampl Ch1 (V)	Quadrature Voltage Ch1 (V)	Gain Ch1	2nd Harmonic Ch1 (dB)	3rd Harmonic Ch1 (dB)	Resistance Ch2 (Ohms)	Resistance Std. Dev. Ch2 (Ohms)	Phase Angle Ch2 (deg)	Frequency Ch2 (Hz)	Averaging Time Ch2 (s)	AC Current Ch2 (mA)	DC Current Ch2 (mA)	Voltage Ampl Ch2 (V)	In Phase Voltage Ampl Ch2 (V)	Quadrature Voltage Ch2 (V)	Gain Ch2	2nd Harmonic Ch2 (dB)	3rd Harmonic Ch2 (dB)	ETO Status Code	ETO Measurement Mode
																														
3634042629	4.000012875	90000.08594	5795.418	0	2.379009	0.4359754	2.293708	0.0001	0	0.000580035	0.000579535	2.41E-05	900	-55.18907	-65.18953														105388928	0
3634042640	4.000533104	90000.14063														21951.22	0	2.032117	0.5086185	1.96611	0.0001	0	0.002196487	0.002195106	7.79E-05	900	-45.04718	-50.78627	407379328	0
3634042658	4.000449181	88988.91406	5762.595	0	2.379837	0.4359754	2.293708	0.0001	0	0.00057675	0.000576253	2.39E-05	900	-54.97448	-64.49287														105388928	0
3634042669	3.999492884	88988.92188														21657.04	0	2.032004	0.5086185	1.96611	0.0001	0	0.00216705	0.002165688	7.68E-05	900	-44.90578	-50.30404	407379328	0
3634042687	4.000441074	87977.80469	5732.629	0	2.381556	0.4359754	2.293708	0.0001	0	0.000573752	0.000573256	2.38E-05	900	-55.47711	-67.14565														105388928	0
3634042698	4.000015259	87977.76563														21374.97	0	2.032531	0.5086185	1.96611	0.0001	0	0.002138827	0.002137481	7.59E-05	900	-45.10586	-50.41825	407379328	0
3634042716	4.000552177	86966.5	5690.399	0	2.380054	0.4359754	2.293708	0.0001	0	0.000569525	0.000569033	2.37E-05	900	-55.02921	-64.58078														105388928	0
3634042727	3.999732494	86966.47656														21098.09	0	2.033134	0.5086185	1.96611	0.0001	0	0.002111122	0.002109793	7.49E-05	900	-45.34029	-50.57933	407379328	0
3634042745	4.000312328	85955.25781	5657.584	0	2.382064	0.4359754	2.293708	0.0001	0	0.000566241	0.000565752	2.35E-05	900	-55.64927	-67.10252														105388928	0
